id,nom_segment,type_segment,score_rfm,score_recence,score_frequence,score_montant,valeur_vie_client
626,About To Sleep,Low,312,3,1,2,17000
627,Promising,Medium,513,5,1,3,27250
628,Lost,Low,123,1,2,3,18800
629,New Customers,Low,512,5,1,2,23310
630,Promising,Low,422,4,2,2,24640
631,Potential Loyalists,Medium,435,4,3,5,42550
632,Hibernating,Low,222,2,2,2,18180
633,Hibernating,Medium,225,2,2,5,25200
634,Promising,Low,412,4,1,2,16910
635,About To Sleep,Low,311,3,1,1,13910
636,Promising,Low,411,4,1,1,12600
637,Cant Lose Them,Medium,144,1,4,4,25500
638,Potential Loyalists,Medium,534,5,3,4,37800
639,Hibernating,Low,222,2,2,2,17820
640,Promising,Medium,415,4,1,5,33170
641,Potential Loyalists,Medium,453,4,5,3,35000
642,About To Sleep,Low,314,3,1,4,21500
643,New Customers,Low,511,5,1,1,13940
644,Need Attention,Medium,342,3,4,2,22620
645,Need Attention,Medium,333,3,3,3,24840
646,At Risk,Low,232,2,3,2,23100
647,Lost,Medium,451,4,5,1,29700
648,Potential Loyalists,Medium,543,5,4,3,27880
649,Lost,Medium,552,5,5,2,28380
650,Potential Loyalists,Premium,553,5,5,3,44030
651,About To Sleep,Medium,315,3,1,5,24070
652,Loyal Customers,Medium,444,4,4,4,37800
653,Lost,Low,134,1,3,4,28620
654,About To Sleep,Low,312,3,1,2,15300
655,Need Attention,Medium,352,3,5,2,29870
656,Lost,Low,115,1,1,5,25750
657,About To Sleep,Medium,324,3,2,4,23520
658,Potential Loyalists,Medium,453,4,5,3,31500
659,Lost,Low,123,1,2,3,21800
660,Hibernating,Low,211,2,1,1,11000
661,At Risk,Low,251,2,5,1,26450
662,Promising,Medium,515,5,1,5,29040
663,Promising,Medium,424,4,2,4,34500
664,Hibernating,Low,211,2,1,1,10230
665,Hibernating,Low,215,2,1,5,21600
666,Need Attention,Low,331,3,3,1,16910
667,Promising,Medium,523,5,2,3,24360
668,Cant Lose Them,Low,141,1,4,1,14940
669,Lost,Low,431,4,3,1,20580
670,Loyal Customers,Premium,455,4,5,5,49880
671,Promising,Medium,514,5,1,4,23200
672,New Customers,Low,521,5,2,1,23600
673,About To Sleep,Low,313,3,1,3,18900
674,Hibernating,Low,215,2,1,5,22140
675,Loyal Customers,Premium,455,4,5,5,36120
676,Cant Lose Them,Medium,153,1,5,3,33060
677,Hibernating,Low,213,2,1,3,16150
678,Hibernating,Low,221,2,2,1,12600
679,Promising,Low,411,4,1,1,16200
680,Need Attention,Medium,342,3,4,2,30940
681,Need Attention,Medium,354,3,5,4,40700
682,Promising,Low,422,4,2,2,26180
683,Promising,Medium,424,4,2,4,35400
684,Hibernating,Medium,225,2,2,5,35700
685,Lost,Low,123,1,2,3,21400
686,Promising,Medium,524,5,2,4,30400
687,Lost,Medium,542,5,4,2,25800
688,About To Sleep,Low,322,3,2,2,20800
689,Potential Loyalists,Premium,535,5,3,5,42900
690,Promising,Medium,523,5,2,3,33040
691,At Risk,Low,251,2,5,1,19780
692,Lost,Medium,532,5,3,2,29430
693,Loyal Customers,Premium,554,5,5,4,40180
694,Loyal Customers,Premium,454,4,5,4,35100
695,About To Sleep,Low,322,3,2,2,19000
696,Lost,Low,123,1,2,3,20000
697,Promising,Medium,525,5,2,5,41400
698,New Customers,Low,521,5,2,1,16800
699,Hibernating,Low,211,2,1,1,11770
700,Need Attention,Medium,352,3,5,2,26390
701,Lost,Medium,551,5,5,1,29870
702,Hibernating,Low,214,2,1,4,24610
703,At Risk,Low,242,2,4,2,21600
704,Lost,Low,115,1,1,5,23250
705,Promising,Medium,514,5,1,4,27840
706,Need Attention,Medium,335,3,3,5,32550
707,About To Sleep,Low,312,3,1,2,14450
708,Hibernating,Low,224,2,2,4,24700
709,Promising,Medium,414,4,1,4,30780
710,Cant Lose Them,Medium,154,1,5,4,30030
711,Hibernating,Low,223,2,2,3,23100
712,Potential Loyalists,Premium,535,5,3,5,40170
713,Potential Loyalists,Medium,533,5,3,3,25420
714,Promising,Medium,423,4,2,3,21840
715,About To Sleep,Medium,324,3,2,4,26040
716,Lost,Low,133,1,3,3,21850
717,Promising,Medium,425,4,2,5,38760
718,Need Attention,Medium,344,3,4,4,38420
719,Promising,Low,412,4,1,2,15580
720,Lost,Low,113,1,1,3,15300
721,Promising,Medium,515,5,1,5,27060
722,At Risk,Low,233,2,3,3,25750
723,Promising,Medium,415,4,1,5,33480
724,Lost,Medium,532,5,3,2,24300
725,Cant Lose Them,Medium,153,1,5,3,30740
726,Lost,Medium,541,5,4,1,28860
727,Hibernating,Low,213,2,1,3,20520
728,At Risk,Medium,255,2,5,5,40950
729,At Risk,Medium,254,2,5,4,34650
730,Promising,Medium,524,5,2,4,37760
731,Lost,Medium,432,4,3,2,20750
732,Promising,Low,412,4,1,2,15770
733,Promising,Medium,423,4,2,3,27300
734,Lost,Low,113,1,1,3,13600
735,At Risk,Medium,253,2,5,3,31000
736,About To Sleep,Low,311,3,1,1,14820
737,Lost,Medium,542,5,4,2,33900
738,Need Attention,Medium,333,3,3,3,28620
739,Potential Loyalists,Medium,433,4,3,3,31320
740,Lost,Medium,451,4,5,1,31320
741,Potential Loyalists,Medium,434,4,3,4,31680
742,At Risk,Medium,235,2,3,5,37290
743,At Risk,Medium,254,2,5,4,37100
744,At Risk,Medium,254,2,5,4,35000
745,Lost,Medium,452,4,5,2,26040
746,At Risk,Low,232,2,3,2,19110
747,Need Attention,Medium,351,3,5,1,25250
748,About To Sleep,Low,313,3,1,3,17850
749,Potential Loyalists,Medium,453,4,5,3,35700
750,Cant Lose Them,Medium,145,1,4,5,40120
751,Hibernating,Low,222,2,2,2,20520
752,Lost,Low,131,1,3,1,14400
753,Need Attention,Medium,354,3,5,4,43290
754,Lost,Medium,532,5,3,2,31860
755,Lost,Medium,452,4,5,2,33170
756,Promising,Medium,523,5,2,3,28000
757,Lost,Low,113,1,1,3,19890
758,Potential Loyalists,Premium,553,5,5,3,35520
759,Hibernating,Low,222,2,2,2,16380
760,Promising,Medium,415,4,1,5,30070
761,Potential Loyalists,Medium,435,4,3,5,42920
762,Lost,Low,133,1,3,3,25530
763,Promising,Medium,424,4,2,4,26400
764,Lost,Low,123,1,2,3,18800
765,Hibernating,Low,214,2,1,4,20010
766,Cant Lose Them,Medium,153,1,5,3,27840
767,Cant Lose Them,Medium,144,1,4,4,26700
768,Lost,Low,121,1,2,1,13920
769,Need Attention,Low,341,3,4,1,20900
770,Lost,Medium,551,5,5,1,32770
771,Need Attention,Medium,354,3,5,4,34780
772,Lost,Medium,541,5,4,1,29640
773,About To Sleep,Medium,324,3,2,4,32200
774,Need Attention,Medium,354,3,5,4,36260
775,Hibernating,Low,215,2,1,5,27000
776,Need Attention,Low,341,3,4,1,22660
777,Hibernating,Low,213,2,1,3,20710
778,Hibernating,Low,212,2,1,2,17850
779,At Risk,Low,232,2,3,2,17220
780,Cant Lose Them,Medium,154,1,5,4,34650
781,Potential Loyalists,Premium,535,5,3,5,36660
782,Hibernating,Low,215,2,1,5,27270
783,Need Attention,Medium,352,3,5,2,27550
784,Hibernating,Low,214,2,1,4,26680
785,Lost,Medium,541,5,4,1,27820
786,Lost,Low,133,1,3,3,27370
787,Promising,Low,422,4,2,2,23980
788,Cant Lose Them,Medium,144,1,4,4,24900
789,Lost,Low,113,1,1,3,16320
790,At Risk,Low,231,2,3,1,14790
791,Need Attention,Low,331,3,3,1,22420
792,Cant Lose Them,Medium,154,1,5,4,29700
793,Cant Lose Them,Medium,145,1,4,5,31960
794,Potential Loyalists,Medium,533,5,3,3,36270
795,Lost,Low,115,1,1,5,21250
796,Need Attention,Medium,345,3,4,5,30400
797,Cant Lose Them,Low,152,1,5,2,27000
798,Loyal Customers,Premium,544,5,4,4,42940
799,Lost,Medium,432,4,3,2,21250
800,Cant Lose Them,Medium,154,1,5,4,27390
801,Lost,Medium,542,5,4,2,24000
802,Cant Lose Them,Low,151,1,5,1,17430
803,Promising,Medium,525,5,2,5,36360
804,Potential Loyalists,Medium,435,4,3,5,30340
805,Lost,Medium,532,5,3,2,29970
806,Cant Lose Them,Medium,155,1,5,5,39590
807,Lost,Medium,451,4,5,1,27540
808,New Customers,Low,512,5,1,2,17640
809,Lost,Medium,451,4,5,1,27270
810,About To Sleep,Low,314,3,1,4,28750
811,At Risk,Low,233,2,3,3,20250
812,Need Attention,Low,332,3,3,2,27370
813,New Customers,Low,521,5,2,1,22000
814,Lost,Medium,135,1,3,5,33480
815,New Customers,Medium,522,5,2,2,22080
816,Loyal Customers,Premium,445,4,4,5,39200
817,Need Attention,Medium,333,3,3,3,22140
818,Hibernating,Medium,225,2,2,5,33600
819,Loyal Customers,Premium,454,4,5,4,45240
820,Lost,Low,112,1,1,2,11310
821,At Risk,Low,242,2,4,2,26640
822,At Risk,Low,241,2,4,1,21800
823,Lost,Medium,451,4,5,1,25110
824,Loyal Customers,Premium,455,4,5,5,46870
825,Cant Lose Them,Low,141,1,4,1,16020
826,Lost,Low,131,1,3,1,16650
827,Need Attention,Medium,351,3,5,1,23750
828,Potential Loyalists,Medium,453,4,5,3,29750
829,Promising,Low,413,4,1,3,21620
830,Lost,Medium,441,4,4,1,20880
831,Potential Loyalists,Medium,435,4,3,5,39590
832,About To Sleep,Low,312,3,1,2,18190
833,Cant Lose Them,Low,151,1,5,1,19530
834,Lost,Low,133,1,3,3,25990
835,At Risk,Low,241,2,4,1,21600
836,At Risk,Medium,243,2,4,3,28840
837,New Customers,Low,512,5,1,2,24150
838,At Risk,Low,232,2,3,2,22260
839,At Risk,Medium,245,2,4,5,29520
840,Need Attention,Low,332,3,3,2,19320
841,Cant Lose Them,Medium,144,1,4,4,29700
842,Lost,Medium,441,4,4,1,25440
843,Lost,Low,131,1,3,1,16500
844,Lost,Medium,441,4,4,1,23040
845,Promising,Medium,513,5,1,3,22750
846,Promising,Medium,415,4,1,5,30380
847,At Risk,Low,241,2,4,1,22000
848,Hibernating,Medium,225,2,2,5,32400
849,Hibernating,Medium,225,2,2,5,27000
850,Need Attention,Medium,343,3,4,3,28500
851,Promising,Medium,513,5,1,3,25500
852,Lost,Medium,432,4,3,2,28500
853,Promising,Medium,515,5,1,5,33330
854,Lost,Low,115,1,1,5,25500
855,Need Attention,Medium,345,3,4,5,41420
856,About To Sleep,Low,314,3,1,4,25750
857,Lost,Low,112,1,1,2,13260
858,Lost,Medium,135,1,3,5,30690
859,Need Attention,Medium,343,3,4,3,35400
860,Need Attention,Low,332,3,3,2,21390
861,Need Attention,Medium,334,3,3,4,30380
862,Need Attention,Low,331,3,3,1,20900
863,Lost,Low,132,1,3,2,21090
864,Need Attention,Medium,344,3,4,4,34340
865,Promising,Medium,525,5,2,5,29160
866,Lost,Medium,532,5,3,2,24840
867,Promising,Medium,414,4,1,4,29700
868,Promising,Low,411,4,1,1,14100
869,Lost,Medium,552,5,5,2,36960
870,Need Attention,Medium,345,3,4,5,34200
871,About To Sleep,Medium,325,3,2,5,35200
872,About To Sleep,Medium,325,3,2,5,32960
873,Lost,Low,123,1,2,3,23400
874,Hibernating,Low,224,2,2,4,25220
875,About To Sleep,Low,321,3,2,1,18400
876,Potential Loyalists,Medium,433,4,3,3,26970
877,New Customers,Medium,522,5,2,2,25920
878,Loyal Customers,Medium,444,4,4,4,36360
879,Promising,Medium,425,4,2,5,37060
880,Promising,Low,411,4,1,1,15000
881,Loyal Customers,Premium,545,5,4,5,44940
882,Need Attention,Low,332,3,3,2,23230
883,Promising,Medium,424,4,2,4,26100
884,Lost,Medium,541,5,4,1,27820
885,Cant Lose Them,Low,151,1,5,1,19110
886,Need Attention,Medium,345,3,4,5,45220
887,Cant Lose Them,Low,152,1,5,2,27250
888,Lost,Medium,541,5,4,1,26260
889,Lost,Low,125,1,2,5,24080
890,Hibernating,Medium,225,2,2,5,31800
891,Hibernating,Low,211,2,1,1,12760
892,Cant Lose Them,Low,141,1,4,1,21060
893,Hibernating,Low,215,2,1,5,28350
894,Need Attention,Medium,343,3,4,3,24600
895,Hibernating,Low,213,2,1,3,22610
896,Hibernating,Low,222,2,2,2,18360
897,At Risk,Medium,235,2,3,5,32670
898,At Risk,Medium,235,2,3,5,35640
899,Lost,Low,131,1,3,1,13350
900,Need Attention,Premium,355,3,5,5,34850
901,At Risk,Medium,254,2,5,4,38850
902,Loyal Customers,Medium,444,4,4,4,34560
903,Lost,Medium,542,5,4,2,26700
904,At Risk,Low,251,2,5,1,20930
905,Loyal Customers,Premium,554,5,5,4,34850
906,Cant Lose Them,Low,141,1,4,1,16740
907,At Risk,Medium,255,2,5,5,42900
908,Need Attention,Premium,355,3,5,5,41410
909,Potential Loyalists,Medium,433,4,3,3,25520
910,Hibernating,Low,224,2,2,4,30160
911,Lost,Medium,541,5,4,1,29380
912,About To Sleep,Low,312,3,1,2,19550
913,Promising,Low,422,4,2,2,26180
914,Lost,Medium,532,5,3,2,27810
915,Potential Loyalists,Medium,443,4,4,3,32960
916,At Risk,Low,251,2,5,1,25530
917,At Risk,Low,242,2,4,2,21360
918,Promising,Low,421,4,2,1,18360
919,About To Sleep,Low,323,3,2,3,25200
920,Lost,Medium,451,4,5,1,22950
921,Lost,Low,124,1,2,4,21360
922,Hibernating,Low,223,2,2,3,19140
923,Promising,Low,413,4,1,3,22770
924,Loyal Customers,Premium,545,5,4,5,46200
925,Lost,Low,134,1,3,4,29160
926,Promising,Medium,514,5,1,4,23490
927,At Risk,Low,233,2,3,3,21250
928,Lost,Medium,552,5,5,2,32340
929,Potential Loyalists,Premium,553,5,5,3,42180
930,Cant Lose Them,Medium,155,1,5,5,34410
931,Cant Lose Them,Low,142,1,4,2,24640
932,Lost,Low,122,1,2,2,16480
933,Lost,Low,133,1,3,3,24610
934,Lost,Medium,551,5,5,1,23200
935,At Risk,Medium,234,2,3,4,33640
936,Potential Loyalists,Medium,434,4,3,4,29700
937,At Risk,Medium,243,2,4,3,31080
938,Need Attention,Medium,333,3,3,3,29430
939,Lost,Medium,552,5,5,2,37950
940,Need Attention,Medium,335,3,3,5,41300
941,Lost,Low,125,1,2,5,26600
942,Hibernating,Low,223,2,2,3,17600
943,Promising,Medium,514,5,1,4,25230
944,Need Attention,Medium,351,3,5,1,24250
945,Lost,Low,114,1,1,4,17850
946,Hibernating,Low,215,2,1,5,29700
947,Cant Lose Them,Medium,155,1,5,5,38850
948,Lost,Low,131,1,3,1,16800
949,At Risk,Low,242,2,4,2,20160
950,Lost,Low,132,1,3,2,16910
951,At Risk,Low,241,2,4,1,19400
952,At Risk,Medium,252,2,5,2,26460
953,Need Attention,Medium,333,3,3,3,28080
954,Hibernating,Low,224,2,2,4,30680
955,New Customers,Low,521,5,2,1,21400
956,Lost,Medium,541,5,4,1,27820
957,Promising,Medium,424,4,2,4,27900
958,Lost,Low,131,1,3,1,14550
959,Promising,Medium,514,5,1,4,26970
960,Loyal Customers,Premium,455,4,5,5,36120
961,About To Sleep,Low,322,3,2,2,19600
962,Need Attention,Medium,345,3,4,5,36860
963,About To Sleep,Low,323,3,2,3,27120
964,Loyal Customers,Premium,545,5,4,5,33600
965,Potential Loyalists,Premium,553,5,5,3,43290
966,Potential Loyalists,Medium,533,5,3,3,31310
967,Lost,Low,124,1,2,4,21600
968,Lost,Low,131,1,3,1,13200
969,About To Sleep,Low,321,3,2,1,17760
970,Promising,Medium,514,5,1,4,32480
971,Potential Loyalists,Premium,535,5,3,5,41730
972,Lost,Medium,451,4,5,1,21600
973,Champions,Premium,555,5,5,5,43650
974,Promising,Medium,514,5,1,4,28420
975,At Risk,Medium,245,2,4,5,40680
976,Loyal Customers,Premium,554,5,5,4,43460
977,Promising,Low,422,4,2,2,20900
978,About To Sleep,Medium,324,3,2,4,27720
979,Need Attention,Medium,334,3,3,4,34100
980,Need Attention,Medium,342,3,4,2,30680
981,About To Sleep,Low,312,3,1,2,14450
982,Loyal Customers,Premium,544,5,4,4,31160
983,Potential Loyalists,Medium,443,4,4,3,32000
984,Hibernating,Low,221,2,2,1,15820
985,Potential Loyalists,Medium,453,4,5,3,38150
986,Hibernating,Low,222,2,2,2,15300
987,Need Attention,Medium,352,3,5,2,33350
988,At Risk,Low,233,2,3,3,20000
989,Cant Lose Them,Low,143,1,4,3,23920
990,Potential Loyalists,Medium,434,4,3,4,39270
991,Need Attention,Medium,351,3,5,1,27500
992,Promising,Low,413,4,1,3,24380
993,Hibernating,Low,222,2,2,2,19440
994,Hibernating,Low,222,2,2,2,18360
995,Need Attention,Premium,355,3,5,5,34850
996,Lost,Low,125,1,2,5,33040
997,Need Attention,Medium,342,3,4,2,24180
998,At Risk,Low,231,2,3,1,16320
999,Need Attention,Medium,344,3,4,4,34340
1000,Need Attention,Low,331,3,3,1,16340
1001,At Risk,Low,233,2,3,3,22500
1002,Loyal Customers,Premium,545,5,4,5,36540
1003,Potential Loyalists,Medium,435,4,3,5,39220
1004,Promising,Medium,425,4,2,5,29920
1005,Cant Lose Them,Low,151,1,5,1,24360
1006,Promising,Medium,423,4,2,3,22100
1007,Need Attention,Medium,342,3,4,2,26000
1008,Cant Lose Them,Medium,144,1,4,4,33600
1009,Lost,Medium,442,4,4,2,26320
1010,Promising,Medium,414,4,1,4,22410
1011,Lost,Low,123,1,2,3,18800
1012,Cant Lose Them,Medium,145,1,4,5,29240
1013,Need Attention,Low,331,3,3,1,20330
1014,Need Attention,Medium,351,3,5,1,29250
1015,Promising,Medium,523,5,2,3,31360
1016,Lost,Medium,551,5,5,1,32480
1017,Need Attention,Medium,345,3,4,5,36860
1018,Need Attention,Medium,345,3,4,5,34200
1019,Lost,Low,111,1,1,1,10260
1020,Cant Lose Them,Medium,144,1,4,4,35400
1021,Lost,Medium,552,5,5,2,37290
1022,Hibernating,Low,215,2,1,5,24030
1023,About To Sleep,Low,312,3,1,2,18700
1024,Lost,Medium,551,5,5,1,33930
1025,At Risk,Medium,253,2,5,3,36580
1026,Lost,Medium,451,4,5,1,25920
1027,Lost,Low,122,1,2,2,13280
1028,Promising,Medium,424,4,2,4,24600
1029,Promising,Medium,524,5,2,4,34880
1030,Need Attention,Medium,352,3,5,2,31030
1031,Need Attention,Medium,342,3,4,2,29900
1032,Loyal Customers,Premium,445,4,4,5,38800
1033,Promising,Low,412,4,1,2,17670
1034,Potential Loyalists,Medium,543,5,4,3,27540
1035,At Risk,Low,241,2,4,1,19000
1036,At Risk,Low,242,2,4,2,20880
1037,Promising,Medium,524,5,2,4,29760
1038,Need Attention,Low,341,3,4,1,18260
1039,Hibernating,Low,223,2,2,3,23320
1040,New Customers,Low,512,5,1,2,24780
1041,Cant Lose Them,Medium,144,1,4,4,28500
1042,About To Sleep,Medium,315,3,1,5,33060
1043,New Customers,Low,511,5,1,1,18360
1044,Lost,Low,134,1,3,4,25920
1045,Loyal Customers,Premium,544,5,4,4,37240
1046,Need Attention,Medium,333,3,3,3,22410
1047,Need Attention,Medium,344,3,4,4,32980
1048,Cant Lose Them,Low,142,1,4,2,18480
1049,Potential Loyalists,Medium,533,5,3,3,35340
1050,Lost,Low,114,1,1,4,20370
1051,Promising,Low,421,4,2,1,15660
1052,Loyal Customers,Premium,545,5,4,5,36960
1053,At Risk,Low,231,2,3,1,15810
1054,About To Sleep,Low,321,3,2,1,13920
1055,Potential Loyalists,Premium,553,5,5,3,34410
1056,Lost,Low,113,1,1,3,16490
1057,About To Sleep,Low,314,3,1,4,24250
1058,At Risk,Medium,253,2,5,3,26970
1059,Hibernating,Low,212,2,1,2,16800
1060,Potential Loyalists,Medium,443,4,4,3,32000
1061,Promising,Medium,415,4,1,5,36580
1062,Potential Loyalists,Premium,535,5,3,5,35100
1063,Lost,Medium,441,4,4,1,26400
1064,About To Sleep,Medium,324,3,2,4,33040
1065,Need Attention,Medium,344,3,4,4,38420
1066,Need Attention,Medium,344,3,4,4,32300
1067,Potential Loyalists,Medium,534,5,3,4,39900
1068,Loyal Customers,Premium,455,4,5,5,48590
1069,Need Attention,Medium,351,3,5,1,20000
1070,Lost,Medium,531,5,3,1,25760
1071,Need Attention,Low,332,3,3,2,18860
1072,Need Attention,Medium,345,3,4,5,33440
1073,At Risk,Low,231,2,3,1,17170
1074,At Risk,Low,251,2,5,1,18400
1075,Promising,Medium,424,4,2,4,35100
1076,At Risk,Medium,244,2,4,4,29760
1077,At Risk,Medium,252,2,5,2,24840
1078,Lost,Medium,432,4,3,2,22250
1079,Cant Lose Them,Medium,144,1,4,4,30900
1080,Lost,Low,121,1,2,1,12000
1081,Need Attention,Medium,342,3,4,2,28860
1082,About To Sleep,Low,314,3,1,4,28000
1083,Hibernating,Low,212,2,1,2,13650
1084,At Risk,Low,231,2,3,1,17510
1085,New Customers,Low,512,5,1,2,22260
1086,Lost,Low,125,1,2,5,24920
1087,Cant Lose Them,Medium,145,1,4,5,27540
1088,Need Attention,Low,341,3,4,1,24420
1089,Lost,Low,431,4,3,1,20370
1090,At Risk,Medium,245,2,4,5,33840
1091,Potential Loyalists,Medium,435,4,3,5,43290
1092,Need Attention,Low,331,3,3,1,19380
1093,At Risk,Medium,254,2,5,4,35700
1094,Promising,Medium,525,5,2,5,36360
1095,Promising,Medium,423,4,2,3,23920
1096,Loyal Customers,Premium,445,4,4,5,38800
1097,Hibernating,Low,223,2,2,3,21780
1098,Lost,Medium,542,5,4,2,34200
1099,At Risk,Medium,244,2,4,4,35200
1100,Promising,Medium,415,4,1,5,33170
1101,Cant Lose Them,Low,143,1,4,3,26520
1102,Need Attention,Medium,342,3,4,2,21840
1103,Loyal Customers,Premium,544,5,4,4,35340
1104,Need Attention,Medium,345,3,4,5,43700
1105,Hibernating,Medium,225,2,2,5,27900
1106,Lost,Low,125,1,2,5,30240
1107,Potential Loyalists,Premium,535,5,3,5,42900
1108,Hibernating,Low,221,2,2,1,12320
1109,Cant Lose Them,Medium,155,1,5,5,35520
1110,At Risk,Medium,243,2,4,3,32480
1111,Promising,Medium,515,5,1,5,34980
1112,Lost,Low,121,1,2,1,11880
1113,At Risk,Medium,245,2,4,5,37800
1114,At Risk,Low,232,2,3,2,21210
1115,Lost,Medium,452,4,5,2,33480
1116,Lost,Medium,542,5,4,2,33000
1117,Need Attention,Medium,353,3,5,3,32670
1118,At Risk,Medium,245,2,4,5,30960
1119,Promising,Medium,513,5,1,3,28500
1120,Need Attention,Medium,354,3,5,4,42550
1121,About To Sleep,Low,323,3,2,3,27120
1122,Cant Lose Them,Medium,145,1,4,5,33320
1123,Lost,Low,123,1,2,3,17400
1124,About To Sleep,Medium,324,3,2,4,26600
1125,At Risk,Medium,235,2,3,5,26400
1126,Potential Loyalists,Medium,443,4,4,3,25920
1127,Potential Loyalists,Medium,453,4,5,3,28700
1128,Lost,Low,131,1,3,1,13950
1129,Loyal Customers,Premium,545,5,4,5,42000
1130,Potential Loyalists,Medium,453,4,5,3,37450
1131,Lost,Low,132,1,3,2,16530
1132,Lost,Low,121,1,2,1,13200
1133,About To Sleep,Low,321,3,2,1,17120
1134,New Customers,Low,512,5,1,2,19740
1135,Promising,Medium,513,5,1,3,26500
1136,Promising,Medium,524,5,2,4,27520
1137,About To Sleep,Low,314,3,1,4,24250
1138,Need Attention,Medium,353,3,5,3,26730
1139,Cant Lose Them,Medium,155,1,5,5,33670
1140,Lost,Medium,452,4,5,2,36890
1141,About To Sleep,Low,313,3,1,3,23310
1142,Loyal Customers,Premium,554,5,5,4,47150
1143,Hibernating,Low,223,2,2,3,18260
1144,Hibernating,Low,213,2,1,3,22610
1145,Cant Lose Them,Low,151,1,5,1,18690
1146,Promising,Medium,515,5,1,5,29370
1147,Lost,Low,112,1,1,2,11050
1148,Loyal Customers,Premium,445,4,4,5,42400
1149,Cant Lose Them,Medium,154,1,5,4,29700
1150,Loyal Customers,Premium,544,5,4,4,39140
1151,Hibernating,Low,213,2,1,3,22040
1152,Cant Lose Them,Medium,154,1,5,4,30030
1153,Lost,Low,123,1,2,3,21200
1154,Lost,Low,121,1,2,1,12600
1155,Potential Loyalists,Premium,553,5,5,3,41440
1156,At Risk,Medium,255,2,5,5,44850
1157,Cant Lose Them,Medium,145,1,4,5,39440
1158,Promising,Medium,414,4,1,4,23220
1159,New Customers,Low,512,5,1,2,22680
1160,Cant Lose Them,Medium,154,1,5,4,27390
1161,At Risk,Medium,235,2,3,5,27060
1162,At Risk,Low,251,2,5,1,19090
1163,About To Sleep,Low,312,3,1,2,17170
1164,Need Attention,Medium,333,3,3,3,27810
1165,Lost,Medium,551,5,5,1,26680
1166,New Customers,Low,511,5,1,1,14960
1167,About To Sleep,Medium,315,3,1,5,31320
1168,Lost,Medium,532,5,3,2,31590
1169,Potential Loyalists,Medium,453,4,5,3,35700
1170,At Risk,Medium,245,2,4,5,33840
1171,Promising,Low,412,4,1,2,15960
1172,Hibernating,Low,212,2,1,2,13050
1173,Potential Loyalists,Medium,433,4,3,3,28710
1174,Lost,Low,112,1,1,2,11700
1175,Potential Loyalists,Premium,553,5,5,3,37370
1176,Lost,Medium,451,4,5,1,31050
1177,Potential Loyalists,Medium,435,4,3,5,38850
1178,Lost,Low,125,1,2,5,27440
1179,Lost,Medium,452,4,5,2,30070
1180,Lost,Low,131,1,3,1,12900
1181,Promising,Medium,414,4,1,4,24030
1182,Loyal Customers,Premium,545,5,4,5,40740
1183,New Customers,Low,512,5,1,2,21000
1184,Lost,Low,112,1,1,2,14560
1185,Need Attention,Medium,343,3,4,3,30900
1186,Champions,Premium,555,5,5,5,48600
1187,Lost,Medium,551,5,5,1,25230
1188,Lost,Medium,452,4,5,2,26970
1189,About To Sleep,Low,323,3,2,3,26640
1190,At Risk,Low,242,2,4,2,21360
1191,Hibernating,Low,213,2,1,3,19380
1192,Lost,Medium,541,5,4,1,21840
1193,Cant Lose Them,Low,141,1,4,1,21420
1194,Promising,Medium,415,4,1,5,31000
1195,Promising,Medium,424,4,2,4,31500
1196,Loyal Customers,Premium,544,5,4,4,34200
1197,Promising,Medium,423,4,2,3,25220
1198,Lost,Low,121,1,2,1,13800
1199,Cant Lose Them,Low,143,1,4,3,27300
1200,Promising,Medium,415,4,1,5,35340
1201,Need Attention,Medium,343,3,4,3,25200
1202,Need Attention,Medium,353,3,5,3,28380
1203,Hibernating,Medium,225,2,2,5,26400
1204,At Risk,Low,241,2,4,1,18800
1205,Loyal Customers,Premium,455,4,5,5,35690
1206,Hibernating,Low,211,2,1,1,12760
1207,About To Sleep,Low,311,3,1,1,11830
1208,Need Attention,Low,332,3,3,2,22080
1209,Cant Lose Them,Low,151,1,5,1,20160
1210,Cant Lose Them,Medium,145,1,4,5,33660
1211,Lost,Medium,135,1,3,5,31620
1212,Potential Loyalists,Medium,543,5,4,3,37060
1213,At Risk,Medium,244,2,4,4,32000
1214,Potential Loyalists,Premium,535,5,3,5,44070
1215,About To Sleep,Low,314,3,1,4,26500
1216,Need Attention,Medium,354,3,5,4,40330
1217,About To Sleep,Medium,315,3,1,5,32190
1218,Need Attention,Medium,334,3,3,4,28520
1219,About To Sleep,Low,323,3,2,3,19920
1220,Need Attention,Low,332,3,3,2,20700
1221,Lost,Low,123,1,2,3,17400
1222,Potential Loyalists,Medium,534,5,3,4,33600
1223,About To Sleep,Low,314,3,1,4,27000
1224,Hibernating,Medium,225,2,2,5,34800
1225,Lost,Low,133,1,3,3,21390
1226,Need Attention,Medium,345,3,4,5,42180
1227,Potential Loyalists,Medium,443,4,4,3,36480
1228,About To Sleep,Low,313,3,1,3,19950
1229,Potential Loyalists,Premium,535,5,3,5,42120
1230,Promising,Medium,513,5,1,3,27500
1231,Hibernating,Low,212,2,1,2,12450
1232,Hibernating,Low,214,2,1,4,23690
1233,Lost,Medium,551,5,5,1,23490
1234,Cant Lose Them,Medium,144,1,4,4,30300
1235,Cant Lose Them,Low,142,1,4,2,18260
1236,Lost,Medium,432,4,3,2,27750
